"Summary","Issue Type","Priority","Story Points","Description","Acceptance Criteria","Epic Name","Labels","Components","Fix Version/s"
"[EPIC-01] Student Management","Epic","High","","As an Admin, I want to manage student profiles from onboarding through the full lifecycle so that the centre keeps clean and reliable student records.","","Student Management","","","v1.0"
"[EPIC-02] Financial Administration","Epic","High","","As an Admin, I want to record offline tuition payments so that student package balances are always up-to-date.","","Financial Administration","","","v1.0"
"[EPIC-03] Schedule Management","Epic","High","","As an Admin, I want to set up and manage the teaching timetable, preventing double-bookings, so that academic resources are allocated efficiently.","","Schedule Management","","","v1.0"
"[EPIC-04] Retention Management","Epic","High","","As an Admin, I want to review and act on package renewal alerts so that I can proactively retain students before their sessions run out.","","Retention Management","","","v1.0"
"[EPIC-05] Academic Operations","Epic","High","","As a Teacher, I want to view my personalised timetable and record accurate class attendance so that daily teaching operations run smoothly.","","Academic Operations","","","v1.0"
"[EPIC-06] Academic Quality Assurance","Epic","High","","As a Teacher, I want to submit academic performance feedback within the required SLA window so that the centre maintains evaluation standards.","","Academic Quality Assurance","","","v1.0"
"[EPIC-07] System Automation","Epic","High","","As the System, I want to run nightly depletion scans and dispatch zero-touch parent notifications automatically so that manual workload is minimised.","","System Automation","","","v1.0"
"[EPIC-08] Non-Functional Requirements","Epic","High","","As a Stakeholder, I want the system to meet defined quality, security and performance standards so that the product is production-ready.","","Non-Functional Requirements","","","v1.0"
"[EPIC-09] Infrastructure & DevOps","Epic","High","","As a Developer, I want the system infrastructure (Supabase, hosting, CI/CD) set up and configured so that all other epics can be built and deployed reliably.","","Infrastructure & DevOps","","","v1.0"
"UC-01 | Onboard New Student Profiles","Story","High","8","As an Academic Admin, I want to create a new student profile (with parent contact info and initial package) so that the student is enrolled and can begin attending classes.","Given a valid form with Full Name, Parent Name, Parent Email, Parent Phone;
When Admin clicks Save;
Then a new Student and Parent record is created, Activity_Log is written, and the UI navigates to the Student detail view.
And if mandatory fields are missing or email is invalid, the system shows an inline error.","Student Management","UC-01,admin","Backend,Frontend","v1.0"
"API: POST /api/students — create student & parent record","Task","High","3","Implement POST /api/students endpoint. Validates payload (Full Name, Parent Email, Parent Phone mandatory). Creates Student + Parent rows in DB. Writes Activity_Log entry. Returns 201 with student ID.","Given a valid JSON payload; When called with Admin JWT; Then 201 response with created student object.","Student Management","UC-01,backend","Backend","v1.0"
"API: POST /api/student-packages — assign initial package to student","Task","High","2","Implement endpoint to link a Package record to a newly created Student, initialising remaining_sessions from the Package.","Given a valid student_id and package_id; When called; Then student_package row created with correct session count.","Student Management","UC-01,backend","Backend","v1.0"
"UI: Add New Student Profile Screen","Task","High","3","Build the Add New Student form screen. Fields: Full Name, DOB (optional), Parent Name, Parent Email, Parent Phone, Package selector. Inline client-side validation. Submit calls POST /api/students.","Given the form is rendered; When mandatory fields are empty and Save is clicked; Then inline error messages appear. When all valid; Then success toast and redirect to student detail.","Student Management","UC-01,frontend","Frontend","v1.0"
"UC-02 | Update Student Lifecycles","Story","High","5","As an Academic Admin, I want to edit an existing student's profile or deactivate a dropped-out student so that data remains accurate and inactive students are clearly marked.","Given an existing Active student;
When Admin edits fields and clicks Save; Then the profile is updated and Activity_Log records the mutation.
When Admin clicks Deactivate; Then the student status becomes Inactive.","Student Management","UC-02,admin","Backend,Frontend","v1.0"
"API: PUT /api/students/{id} — update student profile","Task","High","2","Implement PUT endpoint for updating student fields and/or status (Active → Inactive). Must log change to Activity_Log.","Given Admin JWT and valid student_id; When PUT called; Then record updated and Activity_Log entry created.","Student Management","UC-02,backend","Backend","v1.0"
"UI: Student Profile Details Screen","Task","High","3","Build the Student Detail screen with Edit Profile and Deactivate actions. Inline validation on editable fields.","Given a student is selected; When Edit Profile clicked; Then fields become editable. When Deactivate clicked; Then confirmation dialog shown.","Student Management","UC-02,frontend","Frontend","v1.0"
"UC-03 | Record Offline Tuition Payments","Story","High","5","As an Academic Admin, I want to log a manual tuition fee payment against a student package so that the package balance (Remaining Sessions) is updated correctly.","Given a student with an active package;
When Admin inputs Amount (VND), Payment Method (Cash/Bank Transfer), Payment Date and clicks Save;
Then a Payment record is created, Remaining_Sessions is recalculated, and MSG-03 success toast appears.","Financial Administration","UC-03,admin","Backend,Frontend","v1.0"
"API: POST /api/payments — record tuition payment","Task","High","3","Implement POST /api/payments. Validates Admin role (RBAC). Creates Payment row. Recalculates remaining_sessions on student_packages. Returns 201.","Given Admin JWT and valid payload; When called; Then Payment row created and remaining_sessions updated.","Financial Administration","UC-03,backend","Backend","v1.0"
"UI: Record Tuition Payment Screen","Task","High","3","Build payment recording form. Fields: Student ID (dropdown), Amount, Payment Method (Cash/Bank Transfer), Payment Date. On success show MSG-03 toast.","Given the form is open; When valid data submitted; Then success toast displayed and payment appears in history.","Financial Administration","UC-03,frontend","Frontend","v1.0"
"UC-04 | Setup Core Teaching Schedules","Story","High","8","As an Academic Admin, I want to create session schedules by assigning a Class, Teacher, Room, Start Time and End Time so that the master timetable is defined and visible to Teachers.","Given active Teachers and Rooms exist;
When Admin fills in the Create Session form and saves;
Then if no conflicts: Session is saved and immediately visible to the assigned Teacher.
If conflict: system triggers UC-05 conflict flow and shows MSG-01.","Schedule Management","UC-04,admin","Backend,Frontend","v1.0"
"API: POST /api/sessions — create teaching session with conflict check","Task","High","5","Implement POST /api/sessions. Run double-booking prevention algorithm (BR-03) before persisting. Returns 201 on success, 409 with conflict details on overlap.","Given a valid payload with no time overlap; When called; Then 201. Given an overlap; When called; Then 409 with conflict info.","Schedule Management","UC-04,backend","Backend","v1.0"
